latitude,longitude,zipcode,severity,Comments,SubCategory,Item
37.37238494,-121.8416754,95133,2,"p/up mattress, box spring, load of wood, garbage and debris",FUR - Furniture,Furniture
37.35419014,-121.88335,95112,2,p/up brown leather recliner in street,FUR - Furniture,Furniture
37.24624458,-121.8481024,95123,2,p/up dresser at 5805 cahalan on homeward side,FUR - Furniture,Furniture
37.30429467,-121.8453981,95111,1,NULL,YW - Yard Waste,Yard Waste
37.34218455,-121.8821444,95112,2,"p/up sofa, recliner sofa, mattress at 453 e st john & 10th",FUR - Furniture,Furniture
37.40900026,-121.854431,95132,1,P/U CART FULL GARB DEBRIS,OTH - Other,Other
37.38398031,-121.8829024,95131,2,P/U MATTRESS & BOXSPRING,FUR - Furniture,Furniture
37.34708442,-121.8629366,95116,2,P/U BOXSPRING,FUR - Furniture,Furniture
37.32792575,-121.8798422,95112,2,P/U mattress & boxspring,FUR - Furniture,Furniture
37.35863608,-121.8096885,95127,2,NOTHING AT LOCATION UPON ARRIVAL,FUR - Furniture,Furniture
37.32746748,-121.8956325,95110,1,this should be referred to caltrans if they call back,LIT - Litter,Litter
37.33793382,-121.8775547,95112,1,removed dumpster from rd/wy - set on c&g,OTH - Other,Other
37.30839651,-121.9500271,95128,2,P/U TV STAND,FUR - Furniture,Furniture
37.25636255,-121.8203012,95123,2,"p/u furn, wooden boxes",FUR - Furniture,Furniture
37.33437321,-121.9093767,95126,2,e-mail when complete p/u mattress,FUR - Furniture,Furniture
37.32802502,-121.9093871,95126,2,e-mail when complete p/u couch,FUR - Furniture,Furniture
37.31496493,-121.8332482,95121,1,p/u 12 large tree rounds,YW - Yard Waste,Yard Waste
37.26564362,-121.865998,95136,3,swept up glass,GLA - Glass,Glass
37.25880278,-121.8266489,95136,1,picked up,OTH - Other,Other
37.28754681,-121.98934,95130,2,p/u couch,FUR - Furniture,Furniture
37.29195852,-121.9825669,95130,2,p/u large sony tv,FUR - Furniture,Furniture
37.3406846,-121.8853009,95136,2,p/u furn wood,FUR - Furniture,Furniture
37.35147449,-121.8890682,95030,1,"since resident was cited, he will have to dispose of the yw himself dot wont pick up",YW - Yard Waste,Yard Waste
37.20183737,-121.8387303,95120,1,p/u box of debris,GAR - Garbage,Garbage
37.34787182,-121.8635229,95116,2,p.u 2 mattresses,FUR - Furniture,Furniture
37.29163694,-121.8911632,95125,2,p/u furn,FUR - Furniture,Furniture
37.24204221,-121.8397063,95120,2,p/u mattress,FUR - Furniture,Furniture
37.32471758,-121.829428,95122,2,"p/u 1 mattress, 1 dresser",FUR - Furniture,Furniture
37.25081675,-121.8753153,95118,1,p/u tree clippings,YW - Yard Waste,Yard Waste
37.36402485,-121.8916224,95112,2,"p.u 1 pallet, area safe",FUR - Furniture,Furniture
37.3735003,-121.8291112,95127,2,refered to county,FUR - Furniture,Furniture
37.29148105,-121.8184312,95121,1,p/u bags of garb,GAR - Garbage,Garbage
37.32207135,-121.8280876,95122,2,p/u wood recliner,FUR - Furniture,Furniture
37.32946479,-121.8417749,95122,2,NULL,FUR - Furniture,Furniture
37.26743079,-121.8583704,95136,3,p/u glass nb bike lane,GLA - Glass,Glass
37.29002801,-121.81305,95121,2,p/u mattress & boxspring,FUR - Furniture,Furniture
37.29407207,-121.8439117,95111,2,p/up auto seat and misc items,FUR - Furniture,Furniture
37.34168012,-121.8831979,95112,2,p/u mattress & boxspring,FUR - Furniture,Furniture
37.27883896,-121.8314571,95111,2,p/u 3 mattresses & box of garb,FUR - Furniture,Furniture
37.32812475,-121.8688754,95112,2,UNABLE TO LOCATE,FUR - Furniture,Furniture
37.33376932,-121.905899,95126,2,P/UP SOFA,FUR - Furniture,Furniture
37.33358143,-121.9085391,95126,2,P/UP 2 MATTRESSES,FUR - Furniture,Furniture
37.32158098,-121.9171665,95126,2,p/u couch,FUR - Furniture,Furniture
37.29057222,-121.8349992,95111,2,p/u mattress,FUR - Furniture,Furniture
37.33178649,-121.839983,95122,2,p.u 2 tires auto,TIR - Tires,Tires
37.35954263,-121.8873458,95112,2,p/u boxspring,FUR - Furniture,Furniture
37.25546427,-121.8218989,95123,2,P/U DESK CHAIR,FUR - Furniture,Furniture
37.26084436,-121.809947,95111,2,P/.U MATTRESS,FUR - Furniture,Furniture
37.26084436,-121.809947,95111,2,P/U MATTRESS,FUR - Furniture,Furniture
37.26084436,-121.809947,95111,2,p/u mattress,FUR - Furniture,Furniture
37.29655368,-122.0280859,95129,2,p/u sleeper,FUR - Furniture,Furniture
37.27817372,-121.8241923,95111,2,p/u mattress,FUR - Furniture,Furniture
37.28238765,-121.8234756,95111,2,p/u mattress,FUR - Furniture,Furniture
37.35408885,-121.8667959,95116,2,p/u 3 sofas,FUR - Furniture,Furniture
37.29494669,-121.8328105,95111,1,"p[/u dresser, carpet, lawn mower, garb, debris",OTH - Other,Other
37.37849137,-121.8763987,95131,1,"UNABLE TO LOCATE, DID P/UP LOOSE GARBAGE IN GUTTER",GAR - Garbage,Garbage
37.35382981,-121.8143532,95127,1,P/UP DEBRIS,GAR - Garbage,Garbage
37.36902374,-121.862975,95133,1,P/UP BAG OF GARBAGE,GAR - Garbage,Garbage
37.30305549,-121.8071788,95121,1,SWEPT LOOSE GRAVEL,OTH - Other,Other
37.35197446,-121.888018,95112,2,P/UP MATTRESS,FUR - Furniture,Furniture
37.37397046,-121.8373073,95133,1,P/UP MISC DEBRIS,GAR - Garbage,Garbage
37.29909065,-121.9646182,95032,2,NOTHING AT LOCATION - FIRST WENT TO SAN TOMAS AQUINO RD - NO SUCH ADDRESS,FUR - Furniture,Furniture
37.32399986,-121.7889797,95148,1,put the basketball hoop in storage @ mabury yard - completed,OTH - Other,Other
37.29909065,-121.9646182,95130,2,P/UP TV STAND - 3459 WENT TO SAN TOMAS AQUINO RD FIRST - NO SUCH ADDR,FUR - Furniture,Furniture
37.29362692,-121.9825294,95125,2,P/UP RECLINER,FUR - Furniture,Furniture
37.35500492,-121.887746,95112,3,UNABLE TO LOCATE,GLA - Glass,Glass
37.34770285,-121.82825,95122,2,p/up mattress & bosxpring,FUR - Furniture,Furniture
37.3401052,-121.8906471,95113,2,GAVE BACK TO CENTRAL TO TURN OVER TO SIDEWALK SECTION,FUR - Furniture,Furniture
37.33360023,-121.8743296,95112,2,COULD NOT LOCATE,FUR - Furniture,Furniture
37.22929392,-121.8703702,95120,1,P/UP MISC DEBRIS,OTH - Other,Other
37.22164561,-121.8622679,95120,2,P/UP COUCH,FUR - Furniture,Furniture
37.34407275,-121.8864036,95112,2,p/u BOXSPRING  & MATTRESS,FUR - Furniture,Furniture
37.29163694,-121.8911632,95125,2,p;/u sleeper sofa & ottoman,FUR - Furniture,Furniture
37.32828686,-121.8317562,95135,2,P/UP MATTRESS,FUR - Furniture,Furniture
37.23685935,-121.8107114,95123,2,P/UP MATTRESS & BOXSPRING,FUR - Furniture,Furniture
