latitude,longitude,zipcode,severity
37.34950379,-121.8600917,95116,2
37.29572621,-121.8848908,95125,2
37.32970536,-121.7918888,95148,1
37.25118006,-121.8529722,95123,2
37.25118006,-121.8529722,95123,1
37.31385899,-121.8836983,95110,2
37.29148105,-121.8184312,95121,2
37.29028281,-121.8105923,95121,3
37.3196673,-121.9181006,95126,2
37.28616648,-121.8187458,95111,3
37.30835119,-122.0295768,95123,1
37.32381888,-121.8237524,95122,2
37.36152062,-121.8888385,95112,1
37.32122128,-121.9190281,95126,3
37.26569016,-121.8099776,95111,2
37.33630167,-121.8396093,95122,1
37.25897682,-121.8418739,95123,1
37.25693508,-121.9185959,95124,1
37.32957937,-121.88281,95112,1
37.3310179,-121.8838815,95112,2
37.23691026,-121.8151156,95127,3
37.31224103,-121.9848748,95129,2
37.34416775,-121.8950992,95112,1
37.25602818,-121.8125103,95136,2
37.34813134,-121.868842,95052,3
37.32659429,-121.8762239,95112,3
37.25119375,-121.8559006,95123,1
37.35197233,-121.8253432,95127,2
37.22420592,-121.9033286,95120,1
37.26321136,-121.8150198,95111,3
37.23591556,-121.8338172,95123,1
37.30475408,-121.7981673,95121,1
37.37659919,-121.8395326,95133,3
37.35614894,-121.9026031,95112,1
37.23691026,-121.8151156,95123,1
37.23701645,-121.8097883,95123,1
37.28554546,-121.9102122,95125,3
37.35674451,-121.8626901,95116,2
37.30747865,-121.817629,95121,1
37.34339804,-121.8379445,95122,1
37.33762834,-121.8597439,94545,1
37.33852823,-121.8611142,95116,2
37.30783994,-121.9221218,95128,2
37.35658794,-121.843419,95116,2
37.37658185,-121.9382571,95037,1
37.30307509,-121.828677,95121,3
37.29195852,-121.9825669,95130,2
37.25268987,-121.8827428,95118,2
37.28099273,-121.8321255,92614,3
37.23058942,-121.8246227,95123,3
37.31727004,-121.9227074,95128,2
37.32717778,-121.9097658,95126,1
37.31183683,-121.9175095,95128,2
37.3219136,-121.8381218,95122,3
37.34918346,-121.8671589,95116,2
37.28642677,-121.8418105,95111,2
37.22057589,-121.7616492,95139,1
37.31166457,-121.8931708,95125,1
37.34539329,-121.9163591,95110,1
37.24838965,-121.8425375,95123,2
37.38220246,-121.9053676,95112,2
37.22686439,-121.7768437,95119,2
37.32623365,-121.9204743,95128,1
37.340715,-121.8576814,95116,2
37.37674717,-121.8447344,95133,1
37.3310179,-121.8838815,95112,1
37.34782126,-121.8103053,95127,2
37.34339804,-121.8379445,95116,1
37.34111619,-121.88851,95112,2
37.35674451,-121.8626901,95116,3
37.314107,-121.8800444,95110,2
37.26730601,-121.9205172,95124,3
37.29670422,-121.8166034,95121,3
37.34248854,-121.8330637,95122,1
37.29638729,-121.8499348,95111,2
37.30368083,-121.8448114,95111,3
37.30747865,-121.817629,95121,1
37.25942446,-121.7983325,95032,1
37.33604194,-121.8445389,95122,2
37.25246992,-121.8388498,95123,3
37.27810766,-121.8326982,95111,2
37.34073768,-121.8200538,95148,1
37.34743922,-121.8668164,95116,2
37.34678824,-121.8555243,95116,2
37.24107283,-121.8172796,95123,1
37.31587823,-121.8034495,95148,3
37.39875708,-121.8637967,95132,1
37.35869665,-121.8709039,95133,1
37.3470569,-121.8652417,95116,3
37.29941637,-121.8124982,95121,1
37.32471758,-121.829428,95122,1
37.30932121,-121.8490932,95112,2
37.31836856,-121.885862,95110,1
37.30232172,-121.8905067,95125,1
37.29934446,-121.7713408,95135,2
37.18223758,-121.7616901,95141,3
37.25383477,-121.9111575,95124,2
37.35130314,-121.8135645,95127,3
37.35680055,-121.8444241,95116,1
37.33352943,-121.8641471,95116,1
37.3255989,-121.8826884,95112,1
37.3827446,-121.8958602,95131,2
37.36325505,-121.8122382,95127,2
37.32256134,-121.8159103,95122,1
37.25920247,-121.8473454,95136,2
37.29638729,-121.8499348,95111,2
37.23206718,-121.7672934,95139,2
37.37105834,-121.8377281,95127,2
37.34990577,-121.8046116,95127,2
37.4035456,-121.8648623,95132,3
37.32894111,-121.906407,95126,1
37.252919,-121.8818597,95118,1
37.31601518,-121.8040914,95148,3
37.32362586,-121.8965509,95126,3
37.25054443,-121.9313149,95124,3
37.3470558,-121.8742442,95112,3
37.28121041,-121.9831934,95130,2
37.28416636,-121.8142976,95111,2
37.33160207,-121.8785384,95112,2
37.3668084,-121.8693652,95133,1
37.30352363,-121.9765815,95117,1
37.3014285,-121.922858,95126,3
37.36180136,-121.8826998,95112,2
37.35210029,-121.8612403,95116,3
37.29563511,-121.8802263,95125,3
37.32763604,-121.8699074,95112,1
37.3552984,-121.8308435,95116,2
37.3647247,-121.8465262,95116,3
37.31685317,-121.9074917,95126,2
37.35766376,-121.8821433,95112,1
37.33376932,-121.905899,95126,1
37.30783994,-121.9221218,95128,2
37.25382475,-121.9135458,95124,3
37.34328169,-121.9119297,95110,2
37.32212707,-121.8166053,95122,1
37.32329948,-121.8209676,95122,1
37.32222196,-121.8203997,95122,3
37.31800965,-121.877443,95110,2
37.29362288,-121.8260497,95111,2
37.29413672,-121.8253112,95111,1
37.34204723,-121.8906698,95112,1
37.34788891,-121.8116294,95127,1
37.35614174,-121.8191468,95127,2
37.34770328,-121.8377038,95116,1
37.34787182,-121.8635229,95116,2
